Start of Queue 0
msgid  table entry func addr.  symbol
 0x01  0x00007070  0x0001B3A8  done_PPSMC_MSG_TestMessage
 0x02  0x00007078  0x0001B3C0  PPSMC_MSG_GetSmuVersion
 0x03  0x00007080  0x0001B940  PPSMC_MSG_GetDriverIfVersion
 0x04  0x00007088  0x0001B9D0  PPSMC_MSG_SetDriverTableDramAddrHigh
 0x05  0x00007090  0x0001BA10  PPSMC_MSG_SetDriverTableDramAddrLow
 0x06  0x00007098  0x0001BB1C  PPSMC_MSG_TransferTableSmu2Dram
 0x07  0x000070A0  0x0001BBC0  PPSMC_MSG_TransferTableDram2Smu
 0x08  0x000070A8  0x00000000  No Handler / Reserved
 0x09  0x000070B0  0x00000000  No Handler / Reserved
 0x0A  0x000070B8  0x00000000  No Handler / Reserved
 0x0B  0x000070C0  0x00022BBC  PPSMC_MSG_RequestCorePstate
 0x0C  0x000070C8  0x00022C94  PPSMC_MSG_QueryCorePstate
 0x0D  0x000070D0  0x00000000  No Handler / Reserved
 0x0E  0x000070D8  0x0002B400  PPSMC_MSG_RequestGfxclk
 0x0F  0x000070E0  0x0002B4D4  PPSMC_MSG_QueryGfxclk
 0x10  0x000070E8  0x00000000  No Handler / Reserved
 0x11  0x000070F0  0x0002EA74  PPSMC_MSG_QueryVddcrSocClock
 0x12  0x000070F8  0x00000000  No Handler / Reserved
 0x13  0x00007100  0x0001E988  PPSMC_MSG_QueryDfPstate
 0x14  0x00007108  0x00000000  No Handler / Reserved
 0x15  0x00007110  0x00000000  No Handler / Reserved
 0x16  0x00007118  0x00025188  PPSMC_MSG_ConfigureS3PwrOffRegisterAddressHigh
 0x17  0x00007120  0x000251B8  PPSMC_MSG_ConfigureS3PwrOffRegisterAddressLow
 0x18  0x00007128  0x0002B510  PPSMC_MSG_RequestActiveWgp
 0x19  0x00007130  0x0002B5F4  PPSMC_MSG_SetMinDeepSleepGfxclkFreq
 0x1A  0x00007138  0x0002B634  PPSMC_MSG_SetMaxDeepSleepDfllGfxDiv
 0x1B  0x00007140  0x000270DC  PPSMC_MSG_StartTelemetryReporting
 0x1C  0x00007148  0x00027124  PPSMC_MSG_StopTelemetryReporting
 0x1D  0x00007150  0x00027154  PPSMC_MSG_ClearTelemetryMax
 0x1E  0x00007158  0x0002B690  PPSMC_MSG_QueryActiveWgp
 0x1F  0x00007160  0x00000000  No Handler / Reserved
 0x20  0x00007168  0x00000000  No Handler / Reserved
 0x21  0x00007170  0x00000000  No Handler / Reserved
 0x22  0x00007178  0x00000000  No Handler / Reserved
 0x23  0x00007180  0x00000000  No Handler / Reserved
 0x24  0x00007188  0x00000000  No Handler / Reserved
 0x25  0x00007190  0x00000000  No Handler / Reserved
 0x26  0x00007198  0x00000000  No Handler / Reserved
 0x27  0x000071A0  0x00000000  No Handler / Reserved
 0x28  0x000071A8  0x00000000  No Handler / Reserved
 0x29  0x000071B0  0x00000000  No Handler / Reserved
 0x2A  0x000071B8  0x00000000  No Handler / Reserved
 0x2B  0x000071C0  0x00000000  No Handler / Reserved
 0x2C  0x000071C8  0x00030124  PPSMC_MSG_SetCoreEnableMask
 0x2D  0x000071D0  0x00000000  No Handler / Reserved
 0x2E  0x000071D8  0x00000000  No Handler / Reserved
 0x2F  0x000071E0  0x0002CF54  PPSMC_MSG_GfxCacWeightOperation
 0x30  0x000071E8  0x0002D008  PPSMC_MSG_L3CacWeightOperation
 0x31  0x000071F0  0x0002D0B4  PPSMC_MSG_PackCoreCacWeight
 0x32  0x000071F8  0x00000000  No Handler / Reserved
 0x33  0x00007200  0x00000000  No Handler / Reserved
 0x34  0x00007208  0x0001BD9C  PPSMC_MSG_SetDriverTableVMID
 0x35  0x00007210  0x000234CC  PPSMC_MSG_SetSoftMinCclk
 0x36  0x00007218  0x00023548  PPSMC_MSG_SetSoftMaxCclk
 0x37  0x00007220  0x0002B504  PPSMC_MSG_GetGfxFrequency
 0x38  0x00007228  0x0002C340  PPSMC_MSG_GetGfxVid
 0x39  0x00007230  0x0002B8D4  PPSMC_MSG_ForceGfxFreq
 0x3A  0x00007238  0x0002B8F8  PPSMC_MSG_UnForceGfxFreq
 0x3B  0x00007240  0x0002C358  PPSMC_MSG_ForceGfxVid
 0x3C  0x00007248  0x0002C388  PPSMC_MSG_UnforceGfxVid
 0x3D  0x00007250  0x0001DCF4  PPSMC_MSG_GetEnabledSmuFeatures
 0x3E  0x00007258  0x00000000  No Handler / Reserved
Start of Queue 1
msgid  table entry func addr.  symbol
 0x01  0x00007260  0x0001B3A8  done_PPSMC_MSG_TestMessage
 0x02  0x00007268  0x0001B3C0  PPSMC_MSG_GetSmuVersion
 0x03  0x00007270  0x00000000  No Handler / Reserved
